TABLE_TITLE,TABLE_UNIVERSE
Household Type (Including Living Alone) (Asian Alone),Households with a householder who is Asian alone
Aggregate Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Black Or African American Alone Householder),Households with a householder who is Black or African American alone
Household Type (Including Living Alone) (Black Or African American Alone),Households with a householder who is Black or African American alone
Household Type (Including Living Alone) (Hispanic Or Latino),Households with a householder who is Hispanic or Latino
Aggregate Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Hispanic Or Latino Householder),Households with a householder who is Hispanic or Latino
Aggregate Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),Households with a householder who is Some other race alone
Household Type (Including Living Alone) (Some Other Race Alone),Households with a householder who is Some other race alone
Aggregate Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Two Or More Races Householder),Households with a householder who is Two or more races
Household Type (Including Living Alone) (Two Or More Races),Households with a householder who is Two or more races
Household Type (Including Living Alone) (White Alone),Households with a householder who is White alone
Aggregate Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (White Alone Householder),Households with a householder who is White alone
"Aggregate Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (White Alone, Not Hispanic Or Latino Householder)","Households with a householder who is White alone, not Hispanic or Latino"
"Household Type (Including Living Alone) (White Alone, Not Hispanic Or Latino)","Households with a householder who is White alone, not Hispanic or Latino"
Median Year Structure Built,Housing units
Allocation Of Plumbing Facilities,Housing units
Housing Units,Housing units
Occupancy Status,Housing units
Units In Structure,Housing units
Allocation Of Bedrooms,Housing units
Aggregate Number Of Rooms,Housing units
Year Structure Built,Housing units
Plumbing Facilities For All Housing Units,Housing units
Median Number Of Rooms,Housing units
Allocation Of Units In Structure,Housing units
Kitchen Facilities For All Housing Units,Housing units
Bedrooms,Housing units
Allocation Of Year Structure Built,Housing units
Allocation Of Rooms,Housing units
Rooms,Housing units
Allocation Of Kitchen Facilities,Housing units
Native Hawaiian And Other Pacific Islander Alone Or In Combination With One Or More Other Races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races
Aggregate Nonfamily Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Nonfamily households
Allocation Of Nonfamily Household Income In The Past 12 Months -- Percent Of Income Allocated,Nonfamily households
Median Nonfamily Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Nonfamily households
Nonfamily Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Nonfamily households
Tenure By Rooms,Occupied housing units
Aggregate Number Of Rooms By Tenure,Occupied housing units
Tenure By Vehicles Available By Age Of Householder,Occupied housing units
Allocation Of House Heating Fuel,Occupied housing units
Tenure By Units In Structure,Occupied housing units
Plumbing Facilities By Occupants Per Room By Year Structure Built,Occupied housing units
Tenure By Bedrooms,Occupied housing units
Tenure By Age Of Householder,Occupied housing units
Median Year Householder Moved Into Unit By Tenure,Occupied housing units
Tenure,Occupied housing units
Tenure By Plumbing Facilities,Occupied housing units
Median Number Of Rooms By Tenure,Occupied housing units
House Heating Fuel,Occupied housing units
Tenure By Telephone Service Available By Age Of Householder,Occupied housing units
Tenure By Plumbing Facilities By Occupants Per Room,Occupied housing units
Race Of Householder,Occupied housing units
Aggregate Number Of Vehicles Available By Tenure,Occupied housing units
Tenure By Age Of Householder By Occupants Per Room,Occupied housing units
Allocation Of Telephone Service Available,Occupied housing units
Allocation Of Vehicles Available,Occupied housing units
Tenure By Household Size,Occupied housing units
Tenure By Year Householder Moved Into Unit,Occupied housing units
Tenure By Occupants Per Room,Occupied housing units
Average Household Size Of Occupied Housing Units By Tenure,Occupied housing units
Tenure By Year Structure Built,Occupied housing units
Median Year Structure Built By Tenure,Occupied housing units
Allocation Of Year Householder Moved Into Unit,Occupied housing units
Tenure By Kitchen Facilities,Occupied housing units
Allocation Of Tenure,Occupied housing units
Tenure By Vehicles Available,Occupied housing units
Tenure (American Indian And Alaska Native Alone Householder),Occupied housing units with a householder who is American Indian and Alaska Native alone
Tenure (Asian Alone Householder),Occupied housing units with a householder who is Asian alone
Tenure (Black Or African American Alone Householder),Occupied housing units with a householder who is Black or African American alone
Tenure (Hispanic Or Latino Householder),Occupied housing units with a householder who is Hispanic or Latino
Tenure (Some Other Race Alone Householder),Occupied housing units with a householder who is Some other race alone
Tenure (Two Or More Races Householder),Occupied housing units with a householder who is Two or more races
Tenure (White Alone Householder),Occupied housing units with a householder who is White alone
"Tenure (White Alone, Not Hispanic Or Latino Householder)","Occupied housing units with a householder who is White alone, not Hispanic or Latino"
Presence Of Own Children Under 18 Years By Family Type By Employment Status,Opposite-sex married-couple families and families maintained by women and men with no spouse present
Own Children Under 18 Years By Family Type And Age,Own children under 18 years
Age Of Own Children Under 18 Years In Families And Subfamilies By Living Arrangements By Employment Status Of Parents,Own children under 18 years in families and subfamilies
Age Of Householder By Selected Monthly Owner Costs As A Percentage Of Household Income In The Past 12 Months,Owner-occupied housing units
Aggregate Value (Dollars) By Age Of Householder,Owner-occupied housing units
Aggregate Value (Dollars) By Mortgage Status,Owner-occupied housing units
Allocation Of Mortgage Status,Owner-occupied housing units
Median Selected Monthly Owner Costs As A Percentage Of Household Income In The Past 12 Months,Owner-occupied housing units
Allocation Of Mortgage Status And Selected Monthly Owner Costs,Owner-occupied housing units
Lower Value Quartile (Dollars),Owner-occupied housing units
Median Value (Dollars),Owner-occupied housing units
Upper Value Quartile (Dollars),Owner-occupied housing units
Median Selected Monthly Owner Costs (Dollars) By Mortgage Status,Owner-occupied housing units
Allocation Of Value,Owner-occupied housing units
Aggregate Selected Monthly Owner Costs (Dollars) By Mortgage Status,Owner-occupied housing units
Mortgage Status And Selected Monthly Owner Costs,Owner-occupied housing units
Value,Owner-occupied housing units
Mortgage Status By Selected Monthly Owner Costs As A Percentage Of Household Income In The Past 12 Months,Owner-occupied housing units
Mortgage Status,Owner-occupied housing units
Aggregate Value (Dollars) By Units In Structure,Owner-occupied housing units
Median Value (Dollars) For Mobile Homes,Owner-occupied mobile homes
Sex By Age By Field Of Bachelor's Degree For First Major For The Population 25 Years And Over,POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Field Of Bachelor's Degree For First Major For The Population 25 Years And Over,POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Allocation Of Field Of Degree For Population 25 Years And Over,POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone),People who are American Indian and Alaska Native alone
Median Age By Sex (American Indian And Alaska Native Alone),People who are American Indian and Alaska Native alone
American Indian And Alaska Native Alone Or In Combination With One Or More Other Races,People who are American Indian or Alaska Native alone or in combination with one or more other races
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Asian Alone),People who are Asian alone
Median Age By Sex (Asian Alone),People who are Asian alone
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Black Or African American Alone),People who are Black or African American alone
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Hispanic Or Latino),People who are Hispanic or Latino
Median Age By Sex (Some Other Race Alone),People who are Some Other Race alone
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Some Other Race Alone),People who are Some Other Race alone
Median Age By Sex (Two Or More Races),People who are Two or More Races
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (White Alone),People who are White alone
Median Age By Sex (White Alone),People who are White alone
Allocation Of Mobility Status For The Population 1 Year And Over,Population 1 year and over
Allocation Of Residence 1 Year Ago For The Population 1 Year And Over,Population 1 year and over
Geographical Mobility In The Past Year For Current Residence--Metropolitan Statistical Area Level In Puerto Rico,Population 1 year and over living in a Metropolitan Statistical Area in Puerto Rico
Geographical Mobility In The Past Year For Current Residence--Metropolitan Statistical Area Level In The United States,Population 1 year and over living in a Metropolitan Statistical Area in the United States
Geographical Mobility In The Past Year For Current Residence--Micropolitan Statistical Area Level In Puerto Rico,Population 1 year and over living in a Micropolitan Statistical Area in Puerto Rico
Geographical Mobility In The Past Year For Current Residence--Micropolitan Statistical Area Level In The United States,Population 1 year and over living in a Micropolitan Statistical Area in the United States
Geographical Mobility In The Past Year For Current Residence--Not Metropolitan Or Micropolitan Statistical Area Level In Puerto Rico,Population 1 year and over not living in a Metropolitan or Micropolitan Statistical Area in Puerto Rico
